CommitNumber,CommitName,Config
7,f730d3b361f717135786bddb3c949bfae213bbff,BASE.8
8,56602ca031726a7682de3164b8f7f3da4881f7bb,HAVE_SSH1.3,BASE.9
8,56602ca031726a7682de3164b8f7f3da4881f7bb,BASE.9
9,bb50d8f46429cecb43826c824b2d8139dcdb793e,HAVE_SSH1.4,BASE.10
9,bb50d8f46429cecb43826c824b2d8139dcdb793e,BASE.10
10,d95242d2cde747151953387053a9649bd525d265,BASE.11
11,f23685f92b91aa53546a81bf7793c38a45df15d3,HAVE_PTY_H.1,BASE.12
11,f23685f92b91aa53546a81bf7793c38a45df15d3,HAVE_STDINT_H.1,BASE.12
11,f23685f92b91aa53546a81bf7793c38a45df15d3,HAVE_SSH1.5,BASE.12
11,f23685f92b91aa53546a81bf7793c38a45df15d3,BASE.12
11,f23685f92b91aa53546a81bf7793c38a45df15d3,DEBUG_CRYPTO.3,BASE.12
12,bddce3a5da9f24c18a9ca69e08da50ca4de4671d,BASE.13
13,6c0503f6c68ba92638516257c9991bcfd660e41e,BASE.14
14,35221f967ef5e9801c2496a7f10ced1408f9cd20,BASE.15
15,e2bdc2f66c85d4d1a38b2511cb98da105cafcc24,BASE.16
16,7812915daa1bdb3198059f97e0fb889f0b39b7d2,BASE.17
17,6fd3760797d74d0e4886029ac4f1c2d5a6369d35,BASE.18
18,c76e6e496d6065b8cb61c5ea25df6a38619cfdf4,BASE.19
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_SYS_TYPES_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_MEMORY_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_PWD_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_GETPWUID.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_FCNTL_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,DEBUG.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_OPENNET_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_ERRNO_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_DIRENT_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,TIME_WITH_SYS_TIME.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_NETDB_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_CTYPE_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_NETINET_IN_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_INTTYPES_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_LIBWSOCK32.1,__MINGW32__.1,__WIN32__.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_SYS_TIME_H.2,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_STDIO_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_CONFIG_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_STRING_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_LIBOPENNET.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_ARPA_INET_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_SYS_STAT_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_STDINT_H.2,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_SYS_SOCKET_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,HAVE_STRINGS_H.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,__MINGW32__.1,BASE.20
19,dc0c5c4cfeefae2abc41d2475ed69e8fa26af1ee,__WIN32__.1,BASE.20
20,8510d2abe49baf0c081ac52323d6a29ea94bab84,BASE.21
21,0de0dca16d1caf6c712fb4b50d4ff7c7e25d5129,BASE.22
22,b81c66ee8f785d56eea7ebf3c8d741704c4f2b1b,BASE.23
23,ddd650b3bd10fa3f2198bc7c63bc75eb3ad0cdc5,BASE.24
24,bcb6bf25fa132421672d0782b9bfdb82fd2c6600,BASE.25
25,f31e7a3bec432be88aa4bb82c7f53baa32c6ac28,BASE.26
26,c767514dae4bc9f8a52d74f378650f55f4f1a34f,BASE.27
27,f0008adac6f9f5b6b2a06541bda7502139759ede,BASE.28
28,ed62d1fb533626ac2b245086197856e709e79ffb,BASE.29
29,a8b5d63e14af539ea417f4752850ff300055a0ad,BASE.30
30,8963144850a17aa961b53ad3b036eb71b628d111,BASE.31
31,9a4a7da811d13d57ea2b01436092d14ae3423d9c,BASE.32
32,c83b993af9779967994c1fe1d26536026cdee3af,BASE.33
33,c7a059f0d316b757714fb3e278044ed30bcdcda3,HAVE_SECURITY_PAM_APPL_H.1,BASE.34
33,c7a059f0d316b757714fb3e278044ed30bcdcda3,HAVE_PAM_PAM_APPL_H.1,BASE.34
33,c7a059f0d316b757714fb3e278044ed30bcdcda3,BASE.34
34,1b20b8df85e07353f8403a6b55f8206980228639,BASE.35
35,0c1ca983edd3859acd8c1a02b8db69fd62ca89b6,BASE.36
36,c0525750fd090bca0f1ab1884cc26ecd227addb7,BASE.37
37,5f7c84f900b81e3bbff55378f8170ddf150daf9c,HAVE_SELECT.2,BASE.38
37,5f7c84f900b81e3bbff55378f8170ddf150daf9c,HAVE_LIBCRYPTO.1,BASE.38
37,5f7c84f900b81e3bbff55378f8170ddf150daf9c,HAVE_SYS_POLL_H.2,BASE.38
37,5f7c84f900b81e3bbff55378f8170ddf150daf9c,GCRYPT.1,BASE.38
37,5f7c84f900b81e3bbff55378f8170ddf150daf9c,DEBUG_CRYPTO.4,BASE.38
37,5f7c84f900b81e3bbff55378f8170ddf150daf9c,HAVE_LIBGCRYPT.1,BASE.38
37,5f7c84f900b81e3bbff55378f8170ddf150daf9c,HAVE_SSH1.6,BASE.38
37,5f7c84f900b81e3bbff55378f8170ddf150daf9c,BASE.38
37,5f7c84f900b81e3bbff55378f8170ddf150daf9c,HAVE_OPENSSL_DES_H.1,BASE.38
38,d86f0017545f0076a1136b5c6f8b0a7a58366342,BASE.39
39,9a2683f183338da7c82261d502cdeff0855c210c,HAVE_LIBCRYPTO.2,BASE.40
39,9a2683f183338da7c82261d502cdeff0855c210c,HAVE_LIBGCRYPT.2,BASE.40
39,9a2683f183338da7c82261d502cdeff0855c210c,BASE.40
40,0f67ff89d9918344965897887ca47c9bb7471752,HAVE_GETHOSTBYNAME.4,BASE.41
40,0f67ff89d9918344965897887ca47c9bb7471752,HAVE_GETHOSTBYADDR.4,BASE.41
40,0f67ff89d9918344965897887ca47c9bb7471752,HAVE_SSH1.7,BASE.41
40,0f67ff89d9918344965897887ca47c9bb7471752,BASE.41
41,b753dae37ee09f9fd0576d5fb920b8f9a4cf4e48,BASE.42
42,5e02c25291d594e01a910fce097a3fc5084fd68f,BASE.43
43,b719cc0d13bc85c12fbf484a2e94bf745b7409c3,BASE.44
44,bef09f8848f60a2adfac7ef4a522c83fe184a854,HAVE_LIBCRYPTO.3,BASE.44
45,c53b6b907ce7ccaf720777c18eed3eea46807bb7,HAVE_LIBCRYPTO.4,BASE.45
45,c53b6b907ce7ccaf720777c18eed3eea46807bb7,BASE.45
46,7b416e5c520c4dea21e242733d64672f304fdbd3,HAVE_LIBCRYPTO.5,BASE.46
46,7b416e5c520c4dea21e242733d64672f304fdbd3,BASE.46
47,cddc5d6889f252b2cde5403f16063b640864f55d,BASE.47
48,1847fb2373f6cc5e95d36efa4e0b260fb1337c3c,HAVE_LIBZ.3,BASE.48
48,1847fb2373f6cc5e95d36efa4e0b260fb1337c3c,DEBUG_CRYPTO.5,BASE.48
48,1847fb2373f6cc5e95d36efa4e0b260fb1337c3c,HAVE_SSH1.8,BASE.48
48,1847fb2373f6cc5e95d36efa4e0b260fb1337c3c,BASE.48
49,d923851664f20f7143981dde3562ae9d6ce0b72e,DEBUG_CRYPTO.6,BASE.49
49,d923851664f20f7143981dde3562ae9d6ce0b72e,HAVE_SSH1.9,BASE.49
49,d923851664f20f7143981dde3562ae9d6ce0b72e,BASE.49
